"rowKey","verb","meaning","searchTerm","src","sourceTitle","sourceUrl","imageUrl","error"
"arise|arose|arisen|arising","arise","發生；出現；起床","起きる","assets/grammar-verbs/irasutoya/v1/arise-arose-arisen-arising-479afbc4da.png","寝起きのイラスト「爽やかに起きる男性」","https://www.irasutoya.com/2013/03/blog-post_4994.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgzisJLWmq4e__JsjJ-zGE7xESjzVavN3OiBl9ACuxmEjv7fb06TNwtD6a5RRd4EcawFYmSBqKnbpFgWoy1HGv2LyAbGeqj1a6eYjDYbfxBGAOBZswiWBLfn-xEMWYjabvj30H_MXSCSQY/s1600/neoki_boy_sawayaka.png",""
"be|was/were|been|being","be","是；存在；成為","存在","assets/grammar-verbs/irasutoya/v1/be-was-were-been-being-e8e9438517.png","サイレントマジョリティーのイラスト","https://www.irasutoya.com/2019/04/blog-post_9.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh1Z4i52hv6dwN_Me8Q1TO-jlJxZvjgj4BcRMJDqV_7dxGVJwViSj4sjfhcGxzRoZASizvqCeKbuMRzrjvpQ5D8GRHxq0WMnv56DltvaaUq2Fv6oKAFrrU0TXkjmQv-cFLR9tKJM33X43O-/s1600/people_silent_majority_noisy_minority.png",""
"bear|bore|borne|bearing","bear","忍受；承擔；支撐","我慢","assets/grammar-verbs/irasutoya/v1/bear-bore-borne-bearing-37ff292515.png","お菓子を我慢する人のイラスト（男性）","https://www.irasutoya.com/2017/12/blog-post_65.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg-ltQw7-7jk4ioZvQ362MivxhBhoHVlES1nuxfiPr9p6ARpASl5JQGtN-vMswCKpNYC3oiYLOVhNN21rFExZsi8-UJGgH8k7uuAWu7vrttxCP6USJO_ZunvxUDkmJ_pWJfCdI3Ldqc5ls/s1600/gaman_okashi_man.png",""
"beat|beat|beaten|beating","beat","擊敗；敲打；跳動","勝つ","assets/grammar-verbs/irasutoya/v1/beat-beat-beaten-beating-7424d92a76.png","ウイルスに勝つ細胞のイラスト","https://www.irasutoya.com/2017/11/blog-post_789.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjcA-VLP3ZhsT2bOFcQ8YgF90ZHtcmHiYXcTBQoSRKstQbQ9Ugt6FqiXW1niocNkx8OMWRT7lC4aetV0do6YQhe3g_fm0FXPT5Tlfc8Io9t4aacsm7u5OxuEWoAii6ID5Rwo0tJOjxhkhA/s1600/medical_virus_koutai.png",""
"become|became|become|becoming","become","成為；變成","変身","assets/grammar-verbs/irasutoya/v1/become-became-become-becoming-6de84cd57d.png","化粧前・化粧後のイラスト（メイクアップ）","https://www.irasutoya.com/2013/12/blog-post_8938.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg0N8EnBe21QhkAz7GFg_ZKSM9YXkNzACLD2tgspOpGgEtZjql7oqs-s9CCfzB5OiZ1-A81mFPxnRYyIPPHiep91Z7g-p45tBgJLpnAXCbZ3dsldmrFmMY6lAADVzvowLTfdYEgd7qo6ymX/s1600/makeup_henshin.png",""
"begin|began|begun|beginning","begin","開始；著手","始める","assets/grammar-verbs/irasutoya/v1/begin-began-begun-beginning-c6ede69742.png","シンギュラリティのイラスト","https://www.irasutoya.com/2018/08/blog-post_828.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgDv4ZuL46MgUZjwK8t_fm3_Eu7RmMQugrVjnfSuTgqYSzWC4YCLoKQ0xUpmcGAap6pvS-KEzIwobGVAEIneflNMy2K7YAGY3P4KPsf6xyPLeRd-qChmb-gFqj1pUEKWc48oAZSlQAPobVG/s1600/ai_oinukareru_singularity.png",""
"bend|bent|bent|bending","bend","使彎曲；屈服","曲がる","assets/grammar-verbs/irasutoya/v1/bend-bent-bent-bending-de1b7a06fe.png","自在ほうきのイラスト（掃除用具）","https://www.irasutoya.com/2016/04/blog-post_865.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg9Ncbo4rSs9w_qMuX8MfcCtjI3A05lb-e5vrUFVcm_rS29BFg1wM1fRpKqmn4a-mL8AWDVuc79fVjcKW1U_uoDVoo5AVin8NtxSp_AELjO_3fR7qg0ivDHroVPzme0clkFoCrRCvDZVH3y/s1600/cleaning_jizai_houki.png",""
"bet|bet|bet|betting","bet","打賭；確信","賭ける","assets/grammar-verbs/irasutoya/v1/bet-bet-bet-betting-309098ee87.png","カジノのチップのイラスト","https://www.irasutoya.com/2015/09/blog-post_475.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg6bYWEtjk6TaF0hInAQY2Av62o89h7GEJPc5MYJBrBwi3VfFaRW5YosHbALVndPXIPT7joUNYQ1kRtXdns60nIL2zAnR04Uc1gQr_ChTtf5wIoaZT1iebiyUtILhct7GrhYZKmtUcUWUA/s1600/casino_chip.png",""
"bid|bid|bid|bidding","bid","出價；投標；吩咐","入札","assets/grammar-verbs/irasutoya/v1/bid-bid-bid-bidding-bf00757051.png","談合のイラスト","https://www.irasutoya.com/2016/01/blog-post_712.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjnLPRuBjl8n7jQ8QnSaGoH7dHk8SrjfuvMf59-EwgylTjnMMcdYgsoTJD7reGyK3EdbUV9cakKoQ-ohInRXU5fK0fQhBmqDrW29DLZ0Za6artc2nBCH2HJMTmG0G5KKcY95ZC2B_79l4i3/s1600/money_dangou.png",""
"dive|dived|dived|diving","dive","潛水；跳水","飛び込む","assets/grammar-verbs/irasutoya/v1/dive-dived-dived-diving-757639f6f6.png","落ち葉に飛び込む ぴょこ のイラスト","https://www.irasutoya.com/2015/12/blog-post_16.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh7nO95w7ejxKmxiyJs3TxG2HtrXZlpyorMiZcBlPz7bIivGo6qSfiA14LbyoduAd4NaC6DCnNbmkV_RZyN4RTlLn-BJ2_ruS3vx0megQKArLMsxxdWDEbjcwq1WTO0CatxWtxc1sboClQA/s1600/pyoko10_ochiba.png",""
"bind|bound|bound|binding","bind","捆綁；約束；裝訂","結ぶ","assets/grammar-verbs/irasutoya/v1/bind-bound-bound-binding-d8d67ce97c.png","靴紐を結ぶ人のイラスト（女性）","https://www.irasutoya.com/2021/01/blog-post_224.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi_slIvIo9rbwAit6MLdLmXeKnopQlweVvZd7_EQt6sviHGlFvE9135hF4oMY5EVX-IUZW-SINmweUkbNEJsESVjUlMSsGMCyIeu2Ghw4qNi7WolZYXqjqeJdv3bmBkoynoAsic0wshWbFp/s1600/kutsuhimo_musubu_woman.png",""
"bite|bit|bitten|biting","bite","咬；叮","噛む","assets/grammar-verbs/irasutoya/v1/bite-bit-bitten-biting-b667ecdae9.png","爪を噛む人のイラスト（女性）","https://www.irasutoya.com/2020/11/blog-post_39.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg5DsWoWpw0LYiojsZgstodv9mS_KO78jB9pE-LTP5B09o8T5WsrW6K-r9PeRbSzMMTf_i_Lt72JqZwRuRg2GBZWHsLpaqddSm9V6Lko4eYUWYF0LpfXgWVjt14TBf28OlkC2m3ciwzHaTM/s1600/manner_ha_kamu_woman.png",""
"bleed|bled|bled|bleeding","bleed","流血；滲出","血","assets/grammar-verbs/irasutoya/v1/bleed-bled-bled-bleeding-6bbae785d4.png","どろどろの血で詰まった血管のイラスト","https://www.irasutoya.com/2014/05/blog-post_4502.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhhtvs2UbZUrMz1lMBg9T2SrX3NtKv264ncrfNcLD_LSSwvdZ30Vp9FP62JFRRX5cPjeyt_i12k_R1_8ZH0ICed5e5MsscHTMvb8S3wh8Zt4qkpPMefX5mnjrSy-rp_i8eh-YQyqlhcCoQ/s1600/body_kekkan_dorodoro.png",""
"blow|blew|blown|blowing","blow","吹；吹動；爆破","吹く","assets/grammar-verbs/irasutoya/v1/blow-blew-blown-blowing-285d5552ad.png","ホルンを吹く女性のイラスト（オーケストラ）","https://www.irasutoya.com/2013/10/blog-post_5711.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg6D-eE6jRU9ONN_ssPEe237uakJNbc5CEKSwVYJwS3XJ3C7YBNzgtpz9PJXHIwQWSBfsLWWNjbKWbK0K6-BG2OA8hjBwBcbvbTavWFIo5RfBJrVsitRLnC6Ue6FkVrc3p9utfZdfc2nky7/s1600/musician_horn_woman.png",""
"break|broke|broken|breaking","break","打破；折斷；損壞","壊す","assets/grammar-verbs/irasutoya/v1/break-broke-broken-breaking-acf1ecd62a.png","おもちゃを壊す子供のイラスト（女の子）","https://www.irasutoya.com/2018/06/blog-post_741.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgilo4-zhOU8atvrbVoC1b8-rNztrDr8Ssf3wIczcimsBq6tJ57s2BLS2LAsNUTr362DNw1YorQw1il0WPXb8c21sgAMIhkLAk5ZOIbkU3FPQmY2-NhtieWIpqlbaNUbNjDJO1qawLm5RiD/s1600/omocha_kowasu_girl.png",""
"breed|bred|bred|breeding","breed","飼養；培育；繁殖","繁殖","assets/grammar-verbs/irasutoya/v1/breed-bred-bred-breeding-10424dd447.png","ムナグロのイラスト（冬羽）","https://www.irasutoya.com/2016/02/blog-post_322.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEibuXHtqh_QxOM0aMW4J5rC5087YEEp9bTwAzI0VG4qB-JxhjqiNkVj8XcT4eY0YruFssVXJbmK31QX-c-VWq_Jv-XZOfaauwg5DueJ4BH_Wi_oQsTnUZ-bhg1v2huu4t_-n3GO4GEiNZsn/s1600/hawaii_bird_munaguro_kolea.png",""
"bring|brought|brought|bringing","bring","帶來；引起","届ける","assets/grammar-verbs/irasutoya/v1/bring-brought-brought-bringing-620255f8c5.png","宅配便のイラスト「男性配達員」","https://www.irasutoya.com/2013/02/blog-post_3141.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgv2dIZX8Tif98_d7Q6O8smhCKAFJHSrlhqzjTFry57PrEeNBqJh5LWoC9O4ug68ubY6Cv3QYbfeIATH3NIvdAavQP1NmUXwDFmIjyUln4os_YCD-ITqOiFmUj1L_8tXnK4PSvEIR2e6trF/s800/yuubin_takuhaiin_man2.png",""
"broadcast|broadcast|broadcast|broadcasting","broadcast","廣播；播放","放送","assets/grammar-verbs/irasutoya/v1/broadcast-broadcast-broadcast-broadcasting-877101242d.png","放送委員のイラスト（男の子）","https://www.irasutoya.com/2016/10/blog-post_548.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjcgD2nHhrN359xYHKsE0ILkP1vGZFCCUWQjJskuwP_gI2-hxCPAsymSqcGG-KG1fhn7udAv45RxvQ-CEVkwKMAXDvQVpnY-WUSGxbVWr6XZtDzMB-2XHokmaJ04gpwn1NDOVnO79oifr4h/s1600/school_housouiin_boy.png",""
"build|built|built|building","build","建造；建立","建設","assets/grammar-verbs/irasutoya/v1/build-built-built-building-82d3b047e1.png","建設会社のイラスト","https://www.irasutoya.com/2016/10/blog-post_83.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjdA3dLYRegzzK2H5L_eFFItieYeafZa35HnUlVuVFIMJcEkWWlrX-L-cihEY_9TE5zYxvcLpARNVMHnA9Y2Y2F8XCWqvUZ23zPxmbSW1tceDv55uHOTSKK3cxWfgAh0tYl8yuRFSEHO5XP/s1600/building_kensetsu.png",""
"burn|burnt|burnt|burning","burn","燃燒；燒傷；燒焦","燃える","assets/grammar-verbs/irasutoya/v1/burn-burnt-burnt-burning-395e022434.png","やる気に燃える人のイラスト（女性会社員）","https://www.irasutoya.com/2018/07/blog-post_268.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjCOb48PTHh-BsBnFQswcliSRzVUfTY5UdEQEKzE699CcqbrIr9Mo9ebP23YChMSXYeUsrMU8xr8u9oOIIm0MZR8CHInt3eTqjFeRWRHvFXFdQ9beVgTJz_21OmxosvOYUhIbKDoSJro4Qh/s1600/yaruki_moeru_businesswoman.png",""
"burst|burst|burst|bursting","burst","爆裂；炸破；充滿","破裂","assets/grammar-verbs/irasutoya/v1/burst-burst-burst-bursting-c5cb541ab1.png","水道管破裂のイラスト（地下）","https://www.irasutoya.com/2019/01/blog-post_80.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhB7FyfYXEoSo4ZiI39VLjOXjoUy7w-9QfNFNCz5fVTV_YjI6jD7wkCbdsRxUpogdul3RWphNsenBqOKbYKwYV4pq6yTaz7sZWvfYnnxJkM5ySvGPsRWt2WQVWzMEdhRV68v_eJvgEiULpN/s1600/suidou_haretsu_jimen.png",""
"buy|bought|bought|buying","buy","購買","買う","assets/grammar-verbs/irasutoya/v1/buy-bought-bought-buying-58747ab6e5.png","握手券のためにCDをたくさん買う人のイラスト（女性）","https://www.irasutoya.com/2016/08/cd.html","https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgojEoZcKuAhGxNtiwcWGcaAUATyBpTOSrMRIEkwaRreXvsjzI1O6j16J1rkpVIjcUFcAQSRSCTmvQBfU0VV5AriDhuOMaGAAeSKis7dSlqYHWWplQsooelIwC_VVjK_ppvvK7FU5L6isoa/s1600/idol_cd_akusyuken_woman.png",""
